cause,cause_cluster,effect,effect_cluster,text,id
events,12,a tsunami,6,the 2011 japanese earthquake set of a chain of events that caused both a tsunami and nuclear disaster! effects of both are still shown today. ,1514
events,12,nuclear disaster,0,the 2011 japanese earthquake set of a chain of events that caused both a tsunami and nuclear disaster! effects of both are still shown today. ,1515
the radiation,3,thyroid cancer,19,we need to focus on helping those that have been affected by the radiation within the last 15 years. especially the girls who now face getting thyroid cancer from the radiation! ,1516
earthquake,1,damage,7,"earthquake in 2011 in japan caused a huge amount of damage to the planet, health of its people, and resulted in the displacement of approx. 156,00 people!! ",1517
earthquake,1,the displacement,14,"earthquake in 2011 in japan caused a huge amount of damage to the planet, health of its people, and resulted in the displacement of approx. 156,00 people!! ",1518
the touhoku earthquake,15,the fukushima disaster,0,"the fukushima disaster in 2011, the failure of the daiichi nuclear power plant, was a result of the touhoku earthquake. it was by all means a global environmental disaster. in response, many locals started cutting energy (setsuden) to save electricity. ",1519
the touhoku earthquake,15,the failure,8,"the fukushima disaster in 2011, the failure of the daiichi nuclear power plant, was a result of the touhoku earthquake. it was by all means a global environmental disaster. in response, many locals started cutting energy (setsuden) to save electricity. ",1520
a tsunami,6,significant damage,7,"in fukushima, japan, the daiichi nuclear power plant suffered significant damage after being hit with 45ft waves from a tsunami that was triggered by japan's biggest recorded earthquake. 165,000 people have been displaced because of this disaster. ",1521
japan,1,45 ft waves,11,"in fukushima, japan, the daiichi nuclear power plant suffered significant damage after being hit with 45ft waves from a tsunami that was triggered by japan's biggest recorded earthquake. 165,000 people have been displaced because of this disaster. ",1522
this disaster,4,a tsunami,6,"in fukushima, japan, the daiichi nuclear power plant suffered significant damage after being hit with 45ft waves from a tsunami that was triggered by japan's biggest recorded earthquake. 165,000 people have been displaced because of this disaster. ",1523
this disaster,4,displaced,14,"in fukushima, japan, the daiichi nuclear power plant suffered significant damage after being hit with 45ft waves from a tsunami that was triggered by japan's biggest recorded earthquake. 165,000 people have been displaced because of this disaster. ",1524
radioactive materials,3,the earthquake,1,the earthquake that occurred in japan in 2011 was the strongest earthquake ever recorded there. hundreds of thousands lost their homes and even more were injured or going to develop thyroid cancer due to radioactive materials.,1525
radioactive materials,3,thyroid cancer,19,the earthquake that occurred in japan in 2011 was the strongest earthquake ever recorded there. hundreds of thousands lost their homes and even more were injured or going to develop thyroid cancer due to radioactive materials.,1526
a tsunami,6,lasting effects,5,"just read up on the fukushima nuclear disaster of 2011. so heartbreaking 💔 a tsunami caused lasting effects on the lives of over 150,000 people.",1527
the fukushima disaster,0,damage,7,the fukushima disaster in 2011 caused extreme amounts of damage in japan.  the people of japan banded together as a result.,1528
an earthquake,1,"the fukushima , japan natural disaster",0,"the fukushima, japan natural disaster began with an earthquake and ended with health, environmental, and energy problems.",1529
an earthquake,1,a massive tsunami,1,"an earthquake resulted in a massive tsunami in japan, which caused significant damage for many people, lots of infrastructure, and the environment. a silver lining, though, is that it led to great energy reduction initiatives.",1530
an earthquake,1,significant damage,7,"an earthquake resulted in a massive tsunami in japan, which caused significant damage for many people, lots of infrastructure, and the environment. a silver lining, though, is that it led to great energy reduction initiatives.",1531
the earthquake,1,the tsunami,6,"the tsunami that resulted from the earthquake in japan was just awful! it displaced over 100,000 people and caused a nuclear power plant disaster that increased the risk for thyroid cancer by 70%!! tragic.",1532
the earthquake,1,a nuclear power plant disaster,0,"the tsunami that resulted from the earthquake in japan was just awful! it displaced over 100,000 people and caused a nuclear power plant disaster that increased the risk for thyroid cancer by 70%!! tragic.",1533
tsunami,6,huge earthquake,1,tsunami causes huge earthquake in japan!  isotopes found in california from power plant disaster found months later.,1534
the fukushima nuclear disaster,0,far reaching radioactive repercussions,3,"the fukushima nuclear disaster caused far reaching radioactive repercussions in japan and beyond, including an increase in cancer in infant girls.",1535
the earthquake,1,the japan nuclear disaster,0,remembering the japan nuclear disaster in 2011 from the earthquake and tsunami,1536
tsunami,6,the japan nuclear disaster,0,remembering the japan nuclear disaster in 2011 from the earthquake and tsunami,1537
tsunamis,6,the fukushima nuclear disaster,0,"03/11/2011 - the fukushima nuclear disaster was a result of tsunamis caused by the tohoku earthquake. despite setting an exclusion zone of 100 feet, radioactive isotopes were found as far as california's coast. babies born near the site are more likely to develop thyroid cancer.",1538
